交易日期,市场风险溢价因子(流通市值加权),市场风险溢价因子(总市值加权),市值因子(流通市值加权),市值因子(总市值加权),帐面市值比因子(流通市值加权),帐面市值比因子(总市值加权),盈利能力因子(流通市值加权),盈利能力因子(总市值加权),投资模式因子(流通市值加权),投资模式因子(总市值加权)
2020-05-18,0.000598,-0.000317,-0.00779,-0.007032,-0.00144,0.000549,0.001958,0.002783,-0.006874,-0.007256
2020-05-19,0.009139,0.010005,0.003372,0.003587,-0.003699,-0.003948,0.003512,0.004663,-0.004502,-0.004733
2020-05-20,-0.005815,-0.006342,-0.002312,-0.002315,0.00398,0.004714,3.1e-05,-0.000373,0.001458,0.001784
2020-05-21,-0.006373,-0.006833,-0.003331,-0.003359,0.000561,0.001237,0.001319,0.000945,-0.000332,-0.000554
2020-05-22,-0.019509,-0.019259,0.003912,0.003645,0.003802,0.003916,-0.00711,-0.006685,0.002565,0.002195
2020-05-25,0.000598,0.000407,1.6e-05,0.000169,0.000902,0.000856,0.003319,0.003954,-0.002833,-0.003586
2020-05-26,0.012854,0.014428,0.008884,0.008575,-0.008551,-0.008649,0.00308,0.004629,-0.004022,-0.003798
2020-05-27,-0.004614,-0.00497,0.002749,0.002792,0.006112,0.006613,-0.002745,-0.002192,0.00254,0.002042
2020-05-28,0.001998,0.001527,-0.005366,-0.004767,0.003073,0.00393,0.001069,0.000533,0.002321,0.002365
2020-05-29,0.003486,0.004419,0.005132,0.00433,-0.006401,-0.006459,-0.002881,-0.000868,-0.003879,-0.004884
2020-06-01,0.024681,0.025306,0.003484,0.003761,-0.00762,-0.007098,0.003109,0.003813,-0.002672,-0.000974
2020-06-02,0.002927,0.002536,0.002482,0.002013,0.006846,0.006394,-0.003796,-0.00488,0.001618,0.001954
2020-06-03,0.00116,0.001245,0.002216,0.002554,-0.001907,-0.001889,-0.001648,-0.001278,0.000849,0.000419
2020-06-04,-9.9e-05,0.000181,0.00696,0.006715,-0.003087,-0.002931,0.000819,0.000826,-0.001455,-0.001746
2020-06-05,0.00356,0.003584,-0.004915,-0.004761,-0.003595,-0.004037,-0.000314,3.4e-05,-0.003183,-0.002767
2020-06-08,0.002227,0.001704,-0.005843,-0.005204,-0.000313,0.000804,0.002017,0.002125,-9.6e-05,-0.000648
2020-06-09,0.005825,0.006285,8.6e-05,-9e-06,-0.003518,-0.002795,0.001736,0.002384,0.000733,-0.000209
2020-06-10,-0.001169,-0.000872,-8.4e-05,-0.000202,-0.00291,-0.002896,0.005654,0.005975,-0.006041,-0.006207
2020-06-11,-0.00722,-0.006674,0.004931,0.004747,4e-06,-0.000117,0.000451,0.000694,0.000122,0.000632
2020-06-12,0.000762,0.001032,0.000563,0.000901,-0.003229,-0.00277,0.000255,0.000991,-0.001172,-0.001415
2020-06-15,-0.007904,-0.007022,0.006893,0.005843,0.001465,0.001114,-0.005759,-0.005336,0.001731,0.00156
2020-06-16,0.015121,0.015458,0.001679,0.002844,-0.003539,-0.003162,0.00566,0.006792,-0.002944,-0.00314
2020-06-17,0.001986,0.00175,0.00219,0.002024,-0.002631,-0.002075,-0.002602,-0.0022,0.001942,0.001966
